name,address,website,phone_number,reviews_count,reviews_average,store_shopping,in_store_pickup,store_delivery,place_type,opens_at
Paint for house,"St. 10, Farash Town, Islamabad, 45600, Pakistan",,+92 313 0734946,,,No,No,No,Painter, 10PM 
"Weldpac - Home Maintenance (Carpenter, Electrician, Plumber, Painter, Mason, Welder)","H.No E, 158, New Parian Satellite Town, Rawalpindi, 46000, Pakistan",weldpac.com,+92 305 8717079,76.0,4.6,No,No,No,Handyman/Handywoman/Handyperson, Opens 8AM Thu
"Ideal Furniture Shop, Polishing At Your Doorstep Rwp Isb.","J27W+97G, Babu Lal Hussain Rd, Dhoke Ratta, Rawalpindi, 46000, Pakistan",,+92 342 5376887,20.0,5.0,No,No,No,Painter,
Membrane Sheets Hub,"Main Lehterar Road, St#8, Khanna Pul, near Rawal Hospital, Islamabad, 45551, Pakistan",thenextrenovation.com,+92 322 8005624,12.0,5.0,No,No,No,Construction company,
Tameer Enterprises waterproofing in Islamabad & building maintenance,"office No 10, 2nd floor aaley plaza fazal-e-haq road, 44000, Pakistan",tameerenterprises.com,+92 300 5000228,41.0,4.7,No,No,No,Waterproofing service,
Tabbassum Art – sketch Calligraphy & Painting,"Sector O-9 Block B Pwd, Islamabad, 45750, Pakistan",,+92 370 4110315,114.0,4.9,No,No,No,Art studio, Closes 11:30PM
Painters Shop,"Chaudhry Plaza, Sumbal Rd, F-10 Markaz, F-10, F 10/3 F-10, Islamabad, 44000, Pakistan",,+92 300 5071214,2.0,5.0,No,No,No,Building materials store,
Fresh Coat Paint and Painters Pakistan,"RCCI۔ Rawat, Rawat Industrial Estate, Islamabad, Pakistan",freshcoatpainters.pk,+92 333 6166972,,,No,No,No,Paint manufacturer, Opens 9AM Thu
Usman Engineering & Co,"Block No 8 Abbasi Market, Shop 2, 44220, Pakistan",,+92 333 5372856,98.0,4.9,No,No,No,Handyman/Handywoman/Handyperson,
Shamsher Paint & Polish Works,,,+92 336 7305098,1.0,5.0,No,No,No,Painter,
Shamsher Paint & Polish Works,,,+92 336 7305098,1.0,5.0,No,No,No,Painter,
Rizwan Paint Services,,,+92 347 5092426,3.0,4.7,No,No,No,Painter, Opens 7AM Thu
Waqar Brothers Paint & Hardware Store,"Jinnah Ave, Mohran Jejan, Islamabad, 44000, Pakistan",waqarbrothers.pk,+92 335 5254446,93.0,4.7,Yes,Yes,Yes,Paint store, Opens 10AM Thu
Rafay paint services,"Block-A Street 2, near chaklala scheme-3, Dhok Chaudhrian, Rawalpindi, 46000, Pakistan",,+92 345 9734176,1.0,5.0,No,No,No,Painter,
Islamabad plumber and electricians,"G-12, Islamabad, 46000, Pakistan",maintainfix.com,+92 301 5374005,381.0,4.8,No,No,No,Plumber,
"Nayakam - Find Handyman, Electrician, Plumber & Carpenter","Office #109, First Floor, Grand Xcito, Block D Markaz Gulberg Residencia, Islamabad, 44000, Pakistan",nayakam.com,+92 333 5410090,38.0,4.5,No,No,No,Handyman/Handywoman/Handyperson,
Mehran Experts,"Office 04, Street 01 St 1, G-12, Islamabad, 44000, Pakistan",mehranexperts.com,+92 300 0888121,209.0,4.9,No,No,No,Construction company, 10PM 
Muhammad Hashim paint service,"M2QM+P36, G-9 Markaz G 9 Markaz G-9, Islamabad, Pakistan",facebook.com,+92 347 9995551,,,No,No,No,Painter,
Painters,"H2MJ+9FR, Abid Majeed Rd, Mughalabad, Tench Bhata, Tench Bhata, Rawalpindi, 46000, Pakistan",,+92 300 9125567,2.0,5.0,No,No,No,Painter,
Paint And finishing,"office 227, Pakistan town phase 01 , street 16, Phase 1, Pakistan town, Islamabad, 44000, Pakistan",,+92 302 7141931,3.0,5.0,No,No,No,Painter,
Sahi Karao,"H565+J5C Ideal Homes The name of Trust Shahnoor Arcade, Street 4, Soan Gardens Block F Islamabad, 45720, Pakistan",sahikarao.com,+92 300 1000009,11.0,5.0,No,No,Yes,Home improvement store, Opens 10AM Thu
R&W maintenance and all paints work services,,,+92 331 5770761,2.0,5.0,No,No,No,Painter,
Salamat Denter & Spray Painter,"J389+QC2, Zafar ul Haq Rd, Taili Mohalla Committee Mohalla Waris Khan, Rawalpindi, 46000, Pakistan",,+92 300 5302162,9.0,4.2,No,No,No,Painter, Opens 9AM Thu
Paint & polish service,"Aslam market, Shah Allah, road, F-12, Islamabad, 09876, Pakistan",,+92 310 8101343,,,No,No,No,Painter,
Umar Qadeer Spray Painter,"JXCH+9Q4, Main Peshawar Rd, Naseerabad Rawalpindi, 46000, Pakistan",,+92 301 5464862,1.0,5.0,No,No,No,Painter,
Moon rook wall & epoxy paint,,,+92 300 9715983,,,No,No,No,Painter,
Moon rook wall & epoxy paint,,,+92 300 9715983,,,No,No,No,Painter,
ApnaPainter,"Bostan Khan Rd, Chaklala 3 Dhok Chaudhrian, Rawalpindi, 46000, Pakistan",,+92 311 5357055,1.0,5.0,No,No,No,Painting, Opens 9AM Thu
Wajid Building construction & Maintenance Services,"Jammu & Kashmir Housing Society G 15/3 G-15, Islamabad, Pakistan",,+92 313 1818145,18.0,5.0,No,No,No,Construction company, Closes 12AM
R..R auto painting workshop,"J264+F3P, Allahabad, Rawalpindi, 46000, Pakistan",,+92 343 5065009,,,No,No,No,Painter,
Hussain traders G-11/1 Branch 01,"Service Rd W, opp. Street 22, G-11/1 G 11/1 G-11, Islamabad, Pakistan",,+92 321 5253076,26.0,4.1,No,Yes,Yes,Paint store, Opens 9AM Thu
Rehmani Engineers,"Main street, 4th Ave, Muslim Colony Nurpur Shahan, Islamabad, 44000, Pakistan",rehmaniengineers.com,+92 333 5132852,80.0,4.9,No,No,No,Construction company,
Awanzada Builders,"7th Avenue, Justice Abdul Rasheed Rd, F-6/1 Islamabad, Pakistan",,+92 333 5289574,,,No,No,No,Painter,
Buildream Construction,,,+92 333 1913536,7.0,5.0,No,No,No,Construction company, 10PM 
Hammad Painter's Group,"PRJM+454, Sir Syed road, near mora choke, Wah Cantt, 47010, Pakistan",,+92 300 5883834,9.0,5.0,No,No,No,Painter,
Painter. Polish design,,,+92 307 8861399,,,No,No,No,Painter,
wood renovation,"Shop #1 #Plot #126.I&tcenter, Islamabad, 44002, Pakistan",woodreno.com,+92 334 9000098,,,No,No,No,Interior designer,
Islamabad Art Gallery & Framing,"Super market, F-6 Markaz F 6 Markaz F-6, Islamabad, 44000, Pakistan",,+92 51 2723191,6.0,5.0,No,No,No,Art gallery,
aqleem colour painters,"sarbri darbar wali Gali Line, Chakri road, Street No 12, Khayaban e Shifa Shadman Town, Rawalpindi, Pakistan",,+92 312 8707669,,,No,No,No,Painter,
HussainBrothersinterior pvc & Construction & Home finishing,"Service Rd, near chodary masjid, Sadiqabad Ali Abad, Rawalpindi, 46000, Pakistan",youtube.com,+92 315 5086172,59.0,4.7,No,No,No,Interior designer, 10PM 
"Wall Decor Islamabad | Homes, Office, stores, Hotels, Gym, 3DWallpaper Shop","J4JC+6H Wallpaper shop, Khanna Islamabad, 45551, Pakistan",website3.me,+92 340 6661766,70.0,4.9,Yes,Yes,Yes,Wallpaper store, 10PM 
پاکستان ہزارہ ہوٹل,"M2MX+Q56 Zilla tax, H 8/2 H-8, Islamabad, Pakistan",,,,,No,No,No,Painter,
Aamir painter,"J4M3+M2C, Shakrial Professors Colony Shakrial, Rawalpindi, 46000, Pakistan",,,,,No,No,No,Home builder,
Stone Cover,"Ayubia rock wall graffiato, main High Ct Rd, Phase 2 Gulrez Housing Scheme, Rawalpindi, 44000, Pakistan",stonecover.net,+92 300 4000653,2.0,5.0,No,No,No,Painter, Opens 9AM Thu
Street Painting and sketch,"P3HF+5MX, F-6 Markaz F 6 Markaz F-6, Islamabad, Pakistan",,,,,No,No,No,Painting, Opens 12PM Thu
Aouf Traders,"Opposite kurram palaza Near Total Pump Fateh Jang, Road, Tarnol, Islamabad, 45211, Pakistan",,+92 335 5509977,14.0,5.0,No,No,Yes,Paint store, Opens 8AM Thu
Studio Asrar Farooqi,"office# 101, 1st floor, FECHS E 11/2 E-11, Islamabad, Pakistan",,+92 300 5306545,1.0,5.0,No,No,No,Art studio,
Minhal Traders-construction - renovation service rawalpindi islamabad,"Dhowk Awan, Islamabad, Pakistan",,+92 301 5727775,11.0,4.8,No,No,No,Contractor, Opens 9AM Thu
"ROYAL CORPORATION PAINTS, HARDWARE, SANITARY AND ELECTRIC STORE IN BAHRIA TOWN","Plaza No. 15, Street No.24, Rafi, Rafi Shopping Centre, Commercial, Phase 8 Rafi Block Bahria Town, Islamabad, Pakistan",royalcorpration.pk,+92 324 5224800,13.0,5.0,Yes,No,Yes,Paint store, Opens 8AM Thu
JAVED PICTURE FRAMING,"Khayaban-e-Suhrwardy Rd, G-6/1 G 6/1 G-6, Islamabad, 44000, Pakistan",instagram.com,+92 333 5234758,68.0,4.8,Yes,Yes,Yes,Picture frame shop, Opens 10AM Thu
AURORA PAKISTAN (Pvt.) Ltd,"Sunrise Arcade plaza DHA 2, Gate 2 GT Rd, near DHA-II, 44000, Pakistan",aurorapakistan.com,+92 300 5008786,165.0,5.0,No,No,No,Construction company, Opens 10AM Thu
Islamabad Art Gallery,"P23C+XGF, F-9, Islamabad, Pakistan",,+92 315 6993443,77.0,4.2,No,No,No,Art gallery, Opens 9AM Thu
Rajput Rock Wall & Paint & Polish,"Chaklala Scheme 3 Bangash Street Near Car Chowk, 44000, Pakistan",,+92 306 7867867,1.0,2.0,No,No,No,Painter,
Sadeeq decoration sticker,"J2JG+736 Raja market carriage factory, I J P Rd، Dhoke Hassu, Rawalpindi, 46000, Pakistan",,+92 333 5166434,1.0,5.0,No,No,No,Painter,
Nomi denting painting,"PRH5+VW9, Taxila, Pakistan",,,1.0,1.0,No,No,No,Painter,
Building painter wah cantt,"New city, Wah Cantt, 47010, Pakistan",,+92 317 5409060,8.0,4.5,No,No,No,Painter,
Sadaqat arts painter,"HJ6R+X48, Masjid Al-Murtaza Rd, Fateh Jang, Pakistan",,+92 301 5325633,3.0,5.0,No,No,No,Painter, Opens 8AM Thu
Faisaletown phase I,"JV58+XV2, Block A Faisal Town, Islamabad, Pakistan",,+92 336 5531959,,,No,No,No,Painter,
Shah Buildings Paintr,"J3HC+WGJ, Service Rd N, Asghar Mall Scheme, Rawalpindi, Pakistan",,+92 305 6599881,1.0,5.0,No,No,No,Painter,
